City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
193,Esperance,AU,2020-02-23 21:20:16,-33.87,121.9,64.4,88,90,11.41,overcast clouds,0.0,0.0
194,Niquelandia,BR,2020-02-23 21:20:16,-14.47,-48.46,77.5,89,99,3.02,light rain,2.0,0.0
195,Luderitz,NA,2020-02-23 21:20:16,-26.65,15.16,71.46,57,0,24.92,clear sky,0.0,0.0
196,Tiksi,RU,2020-02-23 21:20:16,71.69,128.87,-8.19,87,100,7.85,overcast clouds,0.0,0.0
197,Dungarvan,IE,2020-02-23 21:20:17,52.09,-7.63,44.01,100,75,16.11,light intensity drizzle rain,0.0,0.0
198,Banjar,ID,2020-02-23 21:20:17,-8.19,114.97,82.62,71,70,1.05,broken clouds,0.0,0.0
199,Vanavara,RU,2020-02-23 21:20:17,60.34,102.28,12.72,95,100,7.0,overcast clouds,0.0,0.0
200,Sargatskoye,RU,2020-02-23 21:20:17,55.61,73.5,3.63,99,99,1.41,overcast clouds,0.0,0.0
201,Cerrito,CO,2020-02-23 21:20:17,6.84,-72.69,77.0,88,20,8.05,few clouds,0.0,0.0
202,Prince Rupert,CA,2020-02-23 21:16:12,54.32,-130.32,39.2,73,90,5.82,overcast clouds,0.0,0.0
203,Mar Del Plata,AR,2020-02-23 21:15:55,-38.0,-57.56,77.0,50,40,12.75,scattered clouds,0.0,0.0
204,Mersing,MY,2020-02-23 21:20:18,2.43,103.84,80.6,94,45,13.87,light rain,0.31,0.0
205,Shimoda,JP,2020-02-23 21:20:18,34.67,138.95,37.0,75,0,13.89,clear sky,0.0,0.0
206,Kahului,US,2020-02-23 21:20:19,20.89,-156.47,80.6,54,20,6.93,few clouds,0.0,0.0
207,Korla,CN,2020-02-23 21:18:13,41.76,86.15,29.5,41,100,6.44,overcast clouds,0.0,0.0
208,Chkalovskoye,RU,2020-02-23 21:20:19,44.84,133.04,25.2,88,100,9.66,light snow,0.0,0.81
209,Svay Rieng,KH,2020-02-23 21:20:19,11.09,105.8,71.53,74,48,3.13,scattered clouds,0.0,0.0
